Tell me what the notes are for South Australia 	SELECT col5 FROM table_1_1000181_1 WHERE col3='SOUTH AUSTRALIA' 
What is the current series where the new series began in June 2011?	SELECT col4 FROM table_1_1000181_1 WHERE col5='New series began in June 2011' 
What is the format for South Australia?	SELECT col2 FROM table_1_1000181_1 WHERE col0='South Australia' 
Name the background colour for the Australian Capital Territory	SELECT col1 FROM table_1_1000181_1 WHERE col0='Australian Capital Territory' 
how many times is the fuel propulsion is cng?	SELECT COUNT(col3) FROM table_1_10007452_3 WHERE col5='CNG' 
what is the fuel propulsion where the fleet series (quantity)is 310-329 (20)?	SELECT col5 FROM table_1_10007452_3 WHERE col3='310-329 (20)' 
who is the manufacturer for the order year 1998?	SELECT col1 FROM table_1_10007452_3 WHERE col0='1998' 
how many times is the model ge40lfr?	SELECT COUNT(col1) FROM table_1_10007452_3 WHERE col2='GE40LFR' 
how many times is the fleet series (quantity)is 468-473 (6)?	SELECT COUNT(col0) FROM table_1_10007452_3 WHERE col3='468-473 (6)' 
what is the powertrain (engine/transmission)when the order year is 2000?	SELECT col4 FROM table_1_10007452_3 WHERE col0='2000' 
What if the description of a ch-47d chinook?	SELECT col1 FROM table_1_10006830_1 WHERE col0='CH-47D Chinook' 
What is the max gross weight of the Robinson R-22?	SELECT col2 FROM table_1_10006830_1 WHERE col0='Robinson R-22' 
What school did player number 6 come from?	SELECT col5 FROM table_1_10015132_1 WHERE col1='6' 
What school did the player that has been in Toronto from 2012-present come from?	SELECT col5 FROM table_1_10015132_1 WHERE col4='2012-present' 
What school did the player that has been in Toronto from 2010-2012 go to?	SELECT col5 FROM table_1_10015132_1 WHERE col4='2010-2012' 
What position did the player from Baylor play?	SELECT col3 FROM table_1_10015132_1 WHERE col5='Baylor' 
Who played in the Toronto Raptors from 1995-96?	SELECT col0 FROM table_1_10015132_14 WHERE col4='1995-96' 
Which number was Patrick O'Bryant?	SELECT col1 FROM table_1_10015132_14 WHERE col0='Patrick O'Bryant' 
What school did Patrick O'Bryant play for?	SELECT col5 FROM table_1_10015132_14 WHERE col0='Patrick O'Bryant' 
How many number does Fordham school have?	SELECT COUNT(col1) FROM table_1_10015132_14 WHERE col5='Fordham' 
Which school was in Toronto in 2001-02?	SELECT col5 FROM table_1_10015132_14 WHERE col4='2001-02' 
Which school did the player that played 2004-05 attend?	SELECT col5 FROM table_1_10015132_21 WHERE col4='2004-05' 
Which position does Loren Woods play?	SELECT col3 FROM table_1_10015132_21 WHERE col0='Loren Woods' 
What number is the player that played 1998-2001	SELECT MIN(col1) FROM table_1_10015132_21 WHERE col4='1998-2001' 
Which country is the player that went to Georgetown from?	SELECT col2 FROM table_1_10015132_21 WHERE col5='Georgetown' 
Which school did Herb Williams go to?	SELECT col5 FROM table_1_10015132_21 WHERE col0='Herb Williams' 
